id,year_reported_to_cdp, account_number, organization, city, country, cdp_region, reporting_authority, access, climate_hazard, adaptation_action, action_title, status_of_action, co_benefit_area, action_description_and_implementation_progress, finance_status, total_cost_of_project, total_cost_provided_by_the_local_government, primary_source_fund, web_link, population, population_year, city_location, last_update,,,,,,,,,,,,,,,
2447,2019,63862,"City of Ashland, OR",,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Wild fire > Forest fire,Hazard resistant infrastructure design and construction,Ashland Wildfire Ordinance,Operation,"Disaster preparedness, Disaster Risk Reduction, Enhanced climate change adaptation","Ashland Fire and Rescue originally presented a proposal to the City Council on April 15, 2014 requesting the boundary of Ashland’s designated Wildfire Lands be expanded to all properties within the City Limits, and requested the standards for development in Wildfire Lands be updated to reflect the current best practices.",,,,,https://www.ashland.or.us/wildfireordinance,21117,2017,,2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
2448,2019,69995,Kemi,Kemi,Finland,Europe,"CDP Cities, Union of the Baltic Cities",public,Extreme cold temperature > Extreme winter conditions,Hazard resistant infrastructure design and construction,Follow the Finlands National Building Code and construction enguirements,Operation,"Disaster Risk Reduction, Enhanced climate change adaptation, Enhanced resilience","When undertaking a building project it is to be ensured that a building is designed and constructed in accordance with the provisions and regulations concerning building and the permit granted for it.  The municipal building supervision authority must supervise the building operations in terms of general interest and, for his or her part, that the provisions and regulations laid down in the Land Use and Building Act or under it are complied with in building.",Finance secured,283000,197000,Local,,21024,2018,POINT (24.5637 65.7364),2019-11-29T08:56:56.313,7,,,,,,,,,,,,,,
2449,2019,55331,Município de Ílhavo,Ílhavo,Portugal,Europe,CDP Cities,public,Flood and sea level rise > Coastal flood,Other: Plano Municipal de Acção,Plano Municipal de Adaptação às Alterações Climáticas do Município de Ílhavo,Implementation,"Disaster preparedness, Disaster Risk Reduction, Ecosystem preservation and biodiversity improvement, Enhanced climate change adaptation, Enhanced resilience, Improved access to data for informed decision-making, Improved resource efficiency (e.g. food, water, energy), Improved resource quality (e.g. air, water), Resource conservation (e.g. soil, water), Shift to more sustainable behaviours","O Município de Ílhavo, ciente da necessidade de a este nível ter o seu plano de acção de adaptação às alterações climáticas, encontra-se a elaborar, com equipa técnica adequada, o Plano Municipal de Adaptação às Alterações Climáticas, o qual será fechado no final do presente ano civil 2018.",Finance secured,61500,,Other: Fundos Comunitários,,38598,2017,POINT (-7.58 38.85),2019-11-29T08:56:56.313,80,,,,,,,,,,,,,,
2450,2019,74558,"Summit County, UT",,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Extreme Precipitation > Heavy snow,Crisis management including warning and evacuation systems,Emergency Text Alert System,Implementation,"Disaster preparedness, Disaster Risk Reduction",Emergency Risk Manager on duty and constantly upgrading plans/response,Finance secured,,,Local,https://www.summitcounty.org/list.aspx,41106,2017,,2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
2451,2019,35904,Kolkata Metropolitan Area,Kolkata,India,South and West Asia,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,,Water butts/rainwater capture,,,,To ensure that rainwater harvesting is be made compulsory for all multi-storied buildings/ developments.,,,,,,15892788,2011,POINT (88.3639 22.5726),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
2452,2018,14344,"City of Park City, UT",Park City,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Forest fire,Crisis management including warning and evacuation systems,,,,Proactive emergency management planning and coordination. Emergency alert system. Burning ban during high risk days.,,,,,,7873,2012,POINT (-111.498 40.6461),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
2453,2018,50555,City of Hamilton,Hamilton,Canada,North America,CDP Cities,public,Extreme hot days,Crisis management including warning and evacuation systems,,Operation,,City of Hamilton Public Health Section of the Healthy and Safe Communities issues Extreme Heat Warnings and Extended Heat Warnings which triggers a variety of interventions including but not limited to extended hours for splash pads and free entrance to city owned pools and opening of cool places across the City.,,,,,,550700,2015,POINT (-79.8661 43.25),2019-11-29T08:49:03.203,42,,,,,,,,,,,,,,
2454,2019,54114,City of Asheville,Asheville,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Water Scarcity > Drought,Community engagement/education,Publication of climate resilience toolkit,Implementation,"Enhanced resilience, Improved access to data for informed decision-making, Shift to more sustainable behaviours, Social inclusion, social justice",The City published a climate resilience toolkit that helps property owners and renters to build resilience on their own property. It specifically shows the climate threats that pertain to their neighborhood.,,,,Local,https://drive.google.com/file/d/0BzZzONRPV-VAVF9vb2pOMUtkRmFJR1AyNFluYU5ESU9rODRJ/view,91902,2017,POINT (-82.5515 35.5951),2019-11-29T08:56:56.313,46,,,,,,,,,,,,,,
2455,2018,60271,Prefeitura de Bertioga,Bertioga,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Rain storm,Flood mapping,,Pre-feasibility study,,Levantamento realizado.,,,,,,59297,2017,POINT (-46.0599 -23.8081),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
2456,2018,58590,"City of Easton, PA",Easton,United States of America,North America,CDP Cities,public,Extratropical storm,Community engagement/education,,Complete,,"Over the years, the City has been advising property owners in the 100 and 500 year flood zones to elevate utilities and eliminate basements.",,,,,,26996,2017,POINT (-75.2207 40.6884),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
2457,2019,50385,Prefeitura de Campo Grande,Campo Grande,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Storm and wind > Lightning / thunderstorm,Projects and policies targeted at those most vulnerable,,,,"Preocupação com os mais vulneráveis, no que tange a conscientização e moradias segurasMonitoramento das áreas vulneráveis a descargas elétricas melhora na qualidade dos atendimentos de emergências",,,,,,786797,2010,POINT (-37.7142 -7.10801),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
2458,2019,31151,City of Basel-Stadt,Basel,Switzerland,Europe,"CDP Cities, C40, Global Covenant of Mayors",public,Extreme hot temperature > Extreme hot days,Community engagement/education,Recommended behavior,Implementation,,Information of the public about recommended actions to be taken,Finance secured,,,,,200408,2018,POINT (7.5928 47.5619),2019-11-29T08:56:56.313,38,,,,,,,,,,,,,,
2459,2019,834280,Municipality of Pérez,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Flood and sea level rise > Flash / surface flood,Flood mapping,Plan Hídrico,Pre-feasibility study,"Disaster preparedness, Disaster Risk Reduction, Improved access to data for informed decision-making","El anegamiento en zonas urbanas es producto de una combinación de factores: geomorfología de escasa pendiente, infraestructura de desagües pluviales incompleta (no mecánica) e insuficiente, canalizaciones clandestinas y las condiciones climáticas.La solución de los problemas debe involucrar la adopción de medidas estructurales y no estructurales: las medidas estructurales implican la alteración del medio físico a través de obras de conducción y regulación (o detención). Las medidas no estructurales consisten en el establecimiento de medidas de prevención.",Pre-feasibility study status,,,,,29204,2014,,2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
2460,2019,60410,Municipalidad de Peñalolén,Peñalolén,Chile,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Extreme hot temperature > Heat wave,Tree planting and/or creation of green space,Programa de mejoramiento de áreas verdes de la comuna,,,"Programa  para mejorar y aumentar la cobertura vegetacional  de la comuna y con ello amortiguar eventos de olas de calor. . Hasta el momento, se han mejorado más de 60 áreas  y 60.000m2 de espacios públicos.",Finance secured,200000000,200000000,Local,,241599,2017,POINT (-70.5302 -33.454),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
2461,2019,36426,Riga City,Riga,Latvia,Europe,"CDP Cities, Union of the Baltic Cities, Global Covenant of Mayors",public,Chemical change > Atmospheric CO2 concentrations,Heat mapping and thermal imaging,The following planned achievements and tasks to be accomplished have been defined within the following action direction of the Development Programme of Riga for 2014-2020: Action Direction 15: Good environmental quality: 15.4. To ensure the correspondence of air quality to the requirements,Implementation,"Disaster preparedness, Ecosystem preservation and biodiversity improvement, Enhanced climate change adaptation, Enhanced resilience, Improved access to data for informed decision-making, Improved public health, Improved resource quality (e.g. air, water), Reduced GHG emissions, Shift to more sustainable behaviours","Development Programme of Riga for 2014-2020, Action Plan for 2019-2020   Activity 15.4.1. Promotion of zero emissions mobilityParticipation in the international project “Urban transport systems in transition to low carbon mobility (cities.multimodal)” and in the international project Fostering e-mobility solutions in urban areas in the Baltic Sea Region (BSR electric)“”.Hydrogen was produced at the hydrogen refuelling station and a successful test for hydrogen cars was carried out.The old buses equipped with EURO 2 engines are replaced against EURO 6, thus reducing the environmental impact of CO2 emissions.Two electric cars and one electric bus were purchased. As a result of the open procurement procedure, a general agreement on car delivery was concluded in 2017. The procurement procedure was conducted in accordance with the principles of green procurement.Partially completed construction work on hydrogen production, storage and refuelling stations at Vienības gatve 6/12, which resulted in the installation and testing of hydrogen production facilities and 700 Bar filling for hydrogen for private cars.Three hydrogen-powered trolley buses have been delivered and tested. In order to ensure the substitution of lower quality biomass fuels with higher quality fuels in heat production plants, JSC “Rīgas siltums” has completely switched to biofuel procurement with the payment of fuel heat content, thus the suppliers of biofuel (wood chips) are interested in supplying the highest quality chips with higher heat content.For newly built heat boilers, biofuel boiler plants are equipped with flue gas cleaning equipment, which, in addition to the flue gas condenser, will provide dust and particulate emissions and air quality indicators in accordance with environmental protection requirements.For solid particle purification, two-sided electrostatic filters or electrostatic filters in combination with multicyclones or any other effective method with equivalent efficiency will be used.To reduce NOx emissions, there will be additional selective non-catalytic or catalytic methods for injecting ammonia or urea into flue gases or another method for reducing NOx.The newly built flue gas system will be equipped with self-contained CO / NOx monitoring equipment and flue gas sampling and emission measurement sites, as well as the efficiency check of flue gas treatment plants according to the standards: LVS EN 15259: 2008 “Air quality. Measurement of stationary source emissions. Requirements for Measurement Stages and Locations and Requirements for Measurement Objective, Plan and Report”, LVS ISO 9096: 2006“ Stationary source emissions. Manual Particulate Mass Concentration Determination or “LVS ISO 10780: 2002"" Stationary source emissions - Measurement of gas velocity and flow in pipelines"".The measures included in the Riga City Air Quality Improvement Action Program 2016-2020 are implemented and will be implemented in the coming years.Sources of information:Sustainable Development Strategy of Riga until 2030Development Programme of Riga for 2014-2020Development Programme of Riga for 2014-2020, Action Plan for 2019-2020Development Programme of Riga for 2014-2020, Investment Plan for 2019-2020Sustainable Development Strategy of Riga until 2030 and Development Programme of Riga for 2014-2020 implementation monitoring report, 2017; Annex 1 “Implementation of Action Plan of Development Programme of Riga for 2014-2020 in 2016 and 2017”Riga Energy Agency, http://www.rea.riga.lv/rea-projekti/starptautiskie-projekti?id=752",Feasibility undertaken,3800000,250000,International (ODA),http://www.sus.lv/sites/default/files/media/faili/ricibas_plana_izpilde_nr.1771.pdf  http://www.rea.riga.lv/rea-projekti/starptautiskie-projekti?id=1169  http://www.rea.riga.lv/rea-projekti/starptautiskie-projekti?id=1147,632614,2019,POINT (24.1052 56.9496),2019-11-29T08:56:56.313,19,,,,,,,,,,,,,,
2462,2019,51079,Guatemala City,Guatemala City,Guatemala,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Extreme hot temperature > Heat wave,Tree planting and/or creation of green space,,Implementation,,,,,,,,992541,2014,POINT (-90.5069 14.6349),2019-11-29T08:56:56.313,135,,,,,,,,,,,,,,
2463,2018,35886,Comune di Torino,Torino,Italy,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,River flood,Flood mapping,,Complete,,"A map of the flooded area by river on the basis of past events and the areas	susceptible  to flood for a rein with a fixed return  period are available, as requird by the Water Framework Directive. An update with the last events (november 2016) to include unexpected events as a river bank damage is ongoing.",,,,,,884733,2017,POINT (7.668 45.1006),2019-11-29T08:49:03.203,50,,,,,,,,,,,,,,
2464,2019,60414,Municipalidad Venado Tuerto,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Flood and sea level rise > Flash / surface flood,Tree planting and/or creation of green space,Censo y Protección del Arbolado Público,Operation,"Ecosystem preservation and biodiversity improvement, Enhanced climate change adaptation, Enhanced resilience, Improved resource quality (e.g. air, water), Reduced GHG emissions, Shift to more sustainable behaviours","A través de la Secretaría de Ambiente, Espacios y Servicios Públicos, se busca llevar a cabo relevamiento sobre estado fitosanitario, cantidad y ubicación de los árboles en espacios públicos. Datos a tener en cuenta en la colecta de datos Especie Estado sanitario del árbol Si posee inclinación Estado de la vereda Existencia de levantamiento de raíces Si el nicho es permeable o impermeable Detectar ramas secas Detección de árboles riesgosos Detección de zonas sin árboles Otro factor importante en el tema del arbolado es la protección de los mismos. Desde el año 1994 contamos con la ordenanza Nº 2254 que tiene por objeto proteger el arbolado público, reglamentando los requisitos técnicos y de trámites a que se ajustará la plantación, conservación y reimplantación de los mismos. Se consideran arbolado público al existente en calles públicas, parques, espacios verdes y lugares y sitios públicos dentro de la jurisdicción municipal, sin importar quién lo implantó en su oportunidad.","Feasibility finalized, and finance partially secured",,,,,76432,2010,,2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
2465,2018,58482,Ville de Laval,Laval,Canada,North America,CDP Cities,public,Heat wave,Heat mapping and thermal imaging,,Pre-implementation,,The city has already access to the heat map of its territory and is currently working of merging this data with data involving the social conditions of its population to obtain a heat vulnerability mapping of its population which will be use to prioritize the city's actions to counter urban heat island effect.,,,,,,437413,2017,POINT (-73.7126 45.6207),2019-11-29T08:49:03.203,42,,,,,,,,,,,,,,
2466,2019,61427,Municipality of Nacala,Nacala,Mozambique,Africa,"CDP Cities, Global Covenant of Mayors",public,Storm and wind > Cyclone (Hurricane / Typhoon),Community engagement/education,Raise awareness within the local community on best practice for more cyclone resilient homes,Scoping,"Disaster preparedness, Disaster Risk Reduction, Enhanced resilience","As noted above, very large cyclone systems such as Cyclone Idai have the power to physically knock down and/ or blow away infrastructure that is not designed to withstand the high wind and heavy rain. Typically, homes built on the outskirts of the city are informal dwellings built from natural materials which have little to no capacity to withstand the impact of cyclones which means that many homes are lost during the cyclone which in turn impacts families and particularly children. The aim of this activity is to ensure that local citizens within Nacala have the capability to make informed decision on what are the best practices for building (or re-building) their homes so that they have a better chance of withstanding the next cyclone. Implementation for this activity has not commenced.",,,,,,224795,2019,POINT (40.6854 -14.5656),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
2467,2019,834219,Municipality of Corrientes,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Flood and sea level rise > Flash / surface flood,Tree planting and/or creation of green space,Reforestación de la ciudad,Pre-implementation,"Disaster preparedness, Disaster Risk Reduction, Ecosystem preservation and biodiversity improvement, Enhanced climate change adaptation, Enhanced resilience, Greening the economy, Reduced GHG emissions, Resource conservation (e.g. soil, water), Social community and labour improvements","Esta acción se encuentra planteada en el marco de adaptación, dado su potencial para regular la escorrentía superficial y así disminuir las inundaciones por precipitaciones intensas, y para regular la temperatura por evapotranspiración y sombreado. De hecho, el principal impacto del cambio climático en Corrientes es el estrés hídrico; con eventos extremos de precipitaciones de hasta 150 mm/h. Por lo tanto, atenuar las escorrentías en la superficie de la ciudad es una prioridad absoluta del Plan de Adaptación de la ciudad. Por otro lado, el arbolado urbano, tanto público como privado (en centros de manzana), tiene sufriendo una fuerte degradación en los últimos 20 años.Sin embargo, se destaca su potencial transversal en mitigación, dado que la principal fuente de emisiones de la ciudad de Corrientes es la energía residencial y comercial. Casi en su totalidad esta energía es eléctrica. Dadas las características térmicas de la ciudad, casi la mitad de esta energía atribuible a la refrigeración. La reforestación de la ciudad será un pilar para ambos planes, tanto el de mitigación como el de adaptación. Pero es una acción compleja, requiere revertir un proceso que lleva años. Por su importancia y su complejidad, esta acción será subdividida en varias acciones.",Pre-feasibility study status,,,,,376528,2014,,2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
2468,2019,42120,City of Salvador,Salvador,Brazil,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Mass movement > Landslide,Landslide risk mapping,ProAdapta (funded by GIZ),Pre-implementation,"Disaster Risk Reduction, Ecosystem preservation and biodiversity improvement, Enhanced climate change adaptation","ProAdapta is a bilateral project from 2017-2022 between the German Government (BMU) and the Ministry of Environment for Brazil (MMA), in which support is provided on a national scale for the country to adapt to climate change. This programme also includes micro level actions in cities, such as Santos and Salvador. Specifically in Salvador, two studies are ongoing regarding the city's vulnerability index and a pilot to implement Adaptation based on Ecosystem (AbE). This work is currently on-going and expected to be concluded by the end of 2019.","Feasibility finalized, and finance partially secured",,,International (ODA),https://www.giz.de/en/worldwide/66671.html,2857329,2018,POINT (-38.5023 -12.973),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
2469,2019,31166,Jakarta City Government,Jakarta,Indonesia,Southeast Asia and Oceania,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,,,,,,,,,,,,10075310,2019,POINT (106.865 -6.1751),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
2470,2019,60410,Municipalidad de Peñalolén,Peñalolén,Chile,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Extreme Precipitation > Rain storm,Crisis management including warning and evacuation systems,Plan de emergencias comunal,Implementation,"Disaster preparedness, Improved access to and quality of mobility services and infrastructure, Social community and labour improvements","Departamento de emergencias gestiona un procedimiento de como actuar ante situaciones extremas de la comuna. En este caso, aquellas vinculadas a las tormentas y desmedros que puedan ocasionar",Finance secured,,,Local,,241599,2017,POINT (-70.5302 -33.454),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
2471,2019,35897,Municipality of Campinas,Campinas,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Flood and sea level rise > River flood,Nature based solutions for water,Implantação de Parques Lineares,Implementation,"Disaster Risk Reduction, Ecosystem preservation and biodiversity improvement, Enhanced climate change adaptation, Enhanced resilience, Improved access to and quality of mobility services and infrastructure","Implantação de 49 trechos de Parques Lineares, definidos no Plano Municipal do Verde do Município de Campinas, como forma de aumento da disponibilidade de Áreas Verdes de função social e que garantam o fluxo gênico da biodiversidade, mobilidade urbana não-motorizada, implantação de dispositivos de esporte e lazer, recuperação da mata ciliar e disponibilidade de áreas alagáveis e permeáveis.",Feasibility undertaken,,,"Other: Os parques lineares serão implantados através do Banco de Áreas Verdes - BAV, compensações ambientais, empreendedores e fundos ambientais nacionais e internacionais.",http://www.campinas.sp.gov.br/governo/meio-ambiente/parques-lineares.php,1194094,2018,POINT (-46.9372 -22.744),2019-11-29T08:56:56.313,213,,,,,,,,,,,,,,
2472,2018,54100,"City of Columbia, MO","Columbia, MO",United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Heat wave,"Cooling centers, pools, water parks/plazas",,Complete,,"The city of Columbia already has nine cooling centers in place,  but with increasing temperatures projected  the addition of more is being explored.",,,,,,119098,2017,POINT (-92.3341 38.9517),2019-11-29T08:49:03.203,46,,,,,,,,,,,,,,
2473,2019,60229,Municipality of Arendal,Arendal,Norway,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities, WWF, Global Covenant of Mayors",public,Flood and sea level rise > River flood,Incorporating climate change into long-term planning documents,enhanced resilience,Operation,Enhanced climate change adaptation,limited acsess to build in risk areas.,Feasibility undertaken,,,,,44785,2018,POINT (8.77245 58.4618),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
2474,2019,73637,Steve Tshwete,,South Africa,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Water Scarcity > Drought,Water butts/rainwater capture,,,,"To prepare for and adapt to drought, the municipality is envisioning that municipal budgets would needing to make use of specialised equipment to drill boreholes, training municipal workers to manage specialised equipment, and provided JoJo tanks for rainwater harvesting to communities.",,,,,,278749,2016,,2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
2475,2018,54337,Greater Amman Municipality,Amman,Jordan,Middle East,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Heat wave,Resilience and resistance measures for buildings,,Complete,,"The Ministry of Public Works has introduced a Green Building Code, which aims to guide people to build more sustainable buildings requiring less energy and water use. Incentives to comply with the guidelines of this code are based on allowing licences for buildings with a greater floor area and an extra floor level.",,,,,,3800000,2017,POINT (35.9284 31.9454),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
2476,2018,74594,City of Boynton Beach,Boynton Beach,United States of America,North America,CDP Cities,public,Flash/surface flood,Community engagement/education,,Implementation,,"Public flood workshops held in 2015 and 2017, will become an annual event. We have a Program for Public Information for our participation in the Community Rating System (CRS) of the National Flood Insurance Program. The City was upgraded to Class 6 in the CRA in 2018, which provides property owners in Special Flood Hazard Areas a 20% discount on flood insurance premiums (other property owners receive a 10% discount). We publish and distribute a Flood Hazards brochure to all residents and utility customers on an annual basis.",,,,,,73992,2017,POINT (-80.216 26.4986),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
2477,2018,60546,Nanjing Municipal People's Government,Nanjing,China,East Asia,"CDP Cities, C40",public,Rain storm,Storm water capture systems,,Operation,,,,,,,,8335000,,POINT (118.797 32.0603),2019-11-29T08:49:03.203,97,,,,,,,,,,,,,,
2478,2018,36469,Comune dell'Aquila,L'Aquila,Italy,Europe,CDP Cities,public,River flood,Incorporating climate change into long-term planning documents,,Scoping,,,,,,,,,,POINT (13.3995 42.3505),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
2479,2018,10495,City of Las Vegas,Las Vegas,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Flash/surface flood,Community engagement/education,,Implementation,,The Regional Flood Control District uses educational campaigns to ensure residents and motorists avoid flooded areas.,,,,,,648224,2017,POINT (-115.14 36.1699),2019-11-29T08:49:03.203,59,,,,,,,,,,,,,,
2480,2018,50673,Município de Faro,Faro,Portugal,Europe,CDP Cities,public,Rain storm,Flood mapping,,Pre-feasibility study,,"- Promotion of cleaning and regularisation of water lines;- Maintenance of adequate vegetation;- Conditioning to construction in areas prone to flooding;- Rehabilitation of streams, riparian galleries and wetlands;- Improvement of the conditions for the drainage of rainwater in critical areas;- Promotion of water reuse systems;- Implementation and monitoring of measures concerning the safeguarding of coastal zones;- Reduction of impermeable areas;- Conditioning to construction in areas prone to flooding.",,,,,,61073,2016,POINT (-7.93044 37.0194),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
2481,2018,16581,City of Seattle,Seattle,United States of America,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Heat wave,Tree planting and/or creation of green space,,Implementation,,Seattle has a comprehensive Urban Forest Management Plan and a citywide team coordinating implementation.,,,,,,725000,2017,POINT (-122.332 47.6062),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
2482,2019,59167,Municipalidad de Providencia,Providencia,Chile,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Extreme hot temperature > Heat wave,Other: Facilitar acceso al agua,Propuesta de puntos de hidratación,Pre-feasibility study,"Improved public health, Improved resource quality (e.g. air, water), Social inclusion, social justice","Se proyectan puntos de hidratación en espacio público a modo de mejorar la accesibilidad del agua a las personas, principalmente en verano. Esta acción también está relacionada con el incentivo de disminución de compra de envases plásticos, promoviendo la reutilización.",Pre-feasibility study status,0,0,Local,,142079,2017,POINT (-70.6092 -33.4313),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
2483,2019,35848,Municipality of Belo Horizonte,Belo Horizonte,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Flood and sea level rise > Flash / surface flood,Other: Implantação de Sistema de Monitoramento Hidrológico,Sistema de Monitoramento Hidrológico,Implementation,"Disaster preparedness, Disaster Risk Reduction, Enhanced climate change adaptation, Enhanced resilience, Improved access to data for informed decision-making","O monitoramento Hidrológico, implantado desde 2011, é composto por 42 estações telemétricas. As estações telemétricas monitoram em tempo real as seguintes variáveis: •        Precipitação e nível d’água; •        Precipitação;•        Variáveis meteorológicas: temperatura, umidade relativa, precipitação, direção e intensidade do vento.",Finance secured,,,Local,http://pbh.gov.br/combate_inundacoes/Plano_de_Acoes_de_Combate_a_Inundacoes_em_BH_.pdf,2513451,2016,POINT (-43.9345 -19.9167),2019-11-29T08:56:56.313,204,,,,,,,,,,,,,,
2484,2018,58513,City of Medford,Medford,United States of America,North America,CDP Cities,public,Extreme winter conditions,Hazard resistant infrastructure design and construction,,Scoping,,"The increase in frequency of freeze/thaw cycles--aggravated by harsh winter weather--poses a structural risk for many of Medford's aging buildings/infrastructure. This was brought up at a recent community meeting, and can be considered in Medford's forthcoming adaptation plan.",,,,,,57797,2017,POINT (-122.876 42.3265),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
2485,2019,35475,City of Calgary,Calgary,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Wild fire > Land fire,Real time risk monitoring,Feasibility of fire bans bylaw,Scoping,"Disaster preparedness, Ecosystem preservation and biodiversity improvement, Enhanced climate change adaptation, Enhanced resilience, Improved public health, Reduced GHG emissions, Social community and labour improvements",Increased heat and drought conditions during the summer will also increase the chance of wildfire smoke from British Columbia and the United States moving into Calgary and this will impact the air quality in Calgary. Investigating the feasibility of implementing and enforcing bylaw restrictions or fire banson backyard fire pits and wood burning during periods of poor air quality will help to reduce Calgary's risks in landfire caused by drought and heat.,Pre-feasibility study status,,,Local,,1267344,2018,POINT (-114.071 51.0486),2019-11-29T08:56:56.313,21,,,,,,,,,,,,,,
2486,2018,54075,City of Lakewood,Lakewood,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Drought,Incorporating climate change into long-term planning documents,,Complete,,The Sustainability Plan sets a target to reduce citywide water use by 20% by 2025.,,,,,,154368,2016,POINT (-105.081 39.7047),2019-11-29T08:49:03.203,46,,,,,,,,,,,,,,
2487,2018,3417,New York City,New York City,United States of America,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Permanent inundation,Other: Raising shorelines citywide,,Implementation,,The city undertook a raised shorelines study which prioritized independent projects that will protect at-riskshorelines from high-tide inundation and erosion. $109 million in funding has been secured for implementationand design RFPs have been submitted for the first six projects.,,,,,,8537673,2016,POINT (-74.0059 40.7128),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
2488,2019,73759,Jambi City,,Indonesia,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,,Additional reservoirs and wells for water storage,,,,,,,,Local,,591134,2017,,2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
